Date,Open,High,Low,Close,Adj Close,Volume
6/6/2022,2188.5,2230,2168.199951,2225.050049,2224.104492,1664487
6/7/2022,2210,2254.699951,2207.050049,2227.550049,2226.603516,2046676
6/8/2022,2244.949951,2244.949951,2158.550049,2177.199951,2176.274902,1530739
6/9/2022,2160.300049,2224,2155,2219.199951,2218.25708,1440385
6/10/2022,2190,2215,2171,2203.100098,2202.164063,1305761
6/13/2022,2172.5,2172.5,2066.75,2079.75,2078.866211,1764172
6/14/2022,2274,2274,2053.100098,2196.449951,2195.516602,6515102
6/15/2022,2218.399902,2219.699951,2174.199951,2184.600098,2183.671875,1313510
6/16/2022,2205,2217.300049,2076.050049,2083,2082.11499,2131789
6/17/2022,2062,2137.399902,2060.149902,2095.800049,2094.909424,2280135
6/20/2022,2107.300049,2123.300049,2025,2079.850098,2078.966309,2603594
6/21/2022,2100,2177,2091.649902,2161.800049,2160.881348,1331500
6/22/2022,2149.949951,2149.949951,2077.100098,2089.199951,2088.312256,1774137
6/23/2022,2105,2128,2080,2110.350098,2109.453369,1026783
6/24/2022,2121,2168,2108.600098,2161.449951,2160.531494,1156536
6/27/2022,2189,2211,2169.350098,2181.600098,2180.673096,1202504
6/28/2022,2170,2210.25,2160,2204.600098,2203.66333,1282047
6/29/2022,2185,2247.800049,2177.199951,2220.100098,2219.156738,1692493
6/30/2022,2220,2248.5,2180.5,2190.899902,2189.968994,1568415
7/1/2022,2189.899902,2242,2138.25,2232.199951,2231.251465,2141743
7/4/2022,2232.199951,2277,2228.350098,2261.850098,2260.888916,1581159
7/5/2022,2264,2290.699951,2238,2246.449951,2245.495361,1356776
7/6/2022,2245,2277,2236.5,2272.850098,2271.884277,1045463
7/7/2022,2280,2294.949951,2256,2274.300049,2273.33374,946131
7/8/2022,2286,2303.600098,2263.899902,2293.050049,2292.075684,898576
7/11/2022,2293.050049,2384.600098,2291.050049,2373.25,2372.241455,1967308
7/12/2022,2364.399902,2389.800049,2350.149902,2365.649902,2364.644775,1273008
7/13/2022,2373.5,2384.649902,2333.699951,2353.5,2352.5,982185
7/14/2022,2365,2404,2336.5,2383.100098,2383.100098,933554
7/15/2022,2414.5,2422.949951,2377,2405.25,2405.25,1169788
7/18/2022,2424,2441.850098,2406.050049,2423.600098,2423.600098,937204
7/19/2022,2406.949951,2459.300049,2405,2451.300049,2451.300049,843301
7/20/2022,2462,2472.800049,2444,2451.100098,2451.100098,693601
